tanggal,TAVG,RH_AVG,RR,FF_AVG,sumber_file
2024-12-29,27.5,76.0,0.0,3.0,bmkg_2024_12.xlsx
2024-12-30,25.8,81.0,0.6,4.0,bmkg_2024_12.xlsx
2024-12-31,27.1,77.0,0.5,4.0,bmkg_2024_12.xlsx
2025-01-01,26.3,83.0,0.0,3.0,bmkg_2024_12.xlsx
2025-01-02,27.1,77.0,5.2,3.0,bmkg_2024_12.xlsx
2025-01-03,27.0,80.0,0.0,3.0,bmkg_2024_12.xlsx
2025-01-04,26.7,83.0,0.0,2.0,bmkg_2024_12.xlsx
2025-01-05,27.2,78.0,1.6,3.0,bmkg_2024_12.xlsx
2025-01-06,26.6,80.0,13.399999999999999,3.0,bmkg_2024_12.xlsx
2025-01-07,26.4,85.0,25.2,3.0,bmkg_2024_12.xlsx
2025-01-08,27.0,85.0,26.1,2.0,bmkg_2025_01.xlsx
2025-01-09,25.5,91.0,27.0,1.0,bmkg_2025_01.xlsx
2025-01-10,26.7,86.0,2.0,3.0,bmkg_2025_01.xlsx
2025-01-11,26.2,87.0,1.0,3.0,bmkg_2025_01.xlsx
2025-01-12,26.6,80.0,7.0,3.0,bmkg_2025_01.xlsx
2025-01-13,26.3,84.0,10.133333333333333,2.0,bmkg_2025_01.xlsx
2025-01-14,25.0,93.0,13.266666666666666,2.0,bmkg_2025_01.xlsx
2025-01-15,26.7,84.0,16.4,2.0,bmkg_2025_01.xlsx
2025-01-16,25.8,89.0,0.0,2.0,bmkg_2025_01.xlsx
2025-01-17,26.3,89.0,2.6,2.0,bmkg_2025_01.xlsx
2025-01-18,25.9,85.0,14.6,2.0,bmkg_2025_01.xlsx
2025-01-19,25.6,87.0,3.4,3.0,bmkg_2025_01.xlsx
2025-01-20,25.4,89.0,57.8,2.0,bmkg_2025_01.xlsx
2025-01-21,25.5,93.0,5.2,2.0,bmkg_2025_01.xlsx
2025-01-22,25.6,87.0,21.4,3.0,bmkg_2025_01.xlsx
2025-01-23,25.4,87.0,0.4,3.0,bmkg_2025_01.xlsx
2025-01-24,24.4,96.0,4.1,2.0,bmkg_2025_01.xlsx
2025-01-25,25.7,87.0,28.6,2.0,bmkg_2025_01.xlsx
2025-01-26,26.1,84.0,2.0,3.0,bmkg_2025_01.xlsx
2025-01-27,26.1,85.0,0.0,1.0,bmkg_2025_01.xlsx
2025-01-28,23.7,96.0,3.0,2.0,bmkg_2025_01.xlsx
2025-01-29,25.3,88.0,21.6,2.0,bmkg_2025_01.xlsx
2025-01-30,25.4,86.0,28.3,2.0,bmkg_2025_01.xlsx
2025-01-31,26.4,87.0,6.7,2.0,bmkg_2025_01.xlsx
2025-02-01,26.3,90.0,9.3,2.0,bmkg_2025_01.xlsx
2025-02-02,26.7,87.0,1.6,2.0,bmkg_2025_01.xlsx
2025-02-03,26.8,88.0,0.0,2.0,bmkg_2025_01.xlsx
2025-02-04,25.7,88.0,0.0,5.0,bmkg_2025_01.xlsx
2025-02-05,26.9,77.0,3.4,6.0,bmkg_2025_01.xlsx
2025-02-06,26.1,89.0,12.1,3.0,bmkg_2025_01.xlsx
2025-02-07,26.5,88.0,1.1,1.0,bmkg_2025_01.xlsx
2025-02-08,25.1,89.0,3.2,1.0,bmkg_2025_02.xlsx
2025-02-09,26.2,88.0,2.8,2.0,bmkg_2025_02.xlsx
2025-02-10,26.8,88.0,2.4,2.0,bmkg_2025_02.xlsx
2025-02-11,27.2,84.0,0.0,3.0,bmkg_2025_02.xlsx
2025-02-12,26.9,78.0,0.0,2.0,bmkg_2025_02.xlsx
2025-02-13,27.4,80.0,0.0,3.0,bmkg_2025_02.xlsx
2025-02-14,26.8,83.0,0.0,2.0,bmkg_2025_02.xlsx
2025-02-15,26.2,87.0,0.4,2.0,bmkg_2025_02.xlsx
2025-02-16,26.2,85.0,0.2,2.0,bmkg_2025_02.xlsx
2025-02-17,25.0,90.0,0.7,1.0,bmkg_2025_02.xlsx
2025-02-18,25.9,86.0,1.2,2.0,bmkg_2025_02.xlsx
2025-02-19,26.1,88.0,3.0,2.0,bmkg_2025_02.xlsx
2025-02-20,25.3,86.0,5.8,3.0,bmkg_2025_02.xlsx
2025-02-21,26.5,84.0,6.0,2.0,bmkg_2025_02.xlsx
2025-02-22,25.9,88.0,0.0,2.0,bmkg_2025_02.xlsx
2025-02-23,25.3,90.0,1.0,2.0,bmkg_2025_02.xlsx
2025-02-24,25.4,89.0,1.7,3.0,bmkg_2025_02.xlsx
2025-02-25,25.9,88.0,45.1,2.0,bmkg_2025_02.xlsx
2025-02-26,25.4,92.0,5.5,1.0,bmkg_2025_02.xlsx
2025-02-27,25.5,89.0,4.7,2.0,bmkg_2025_02.xlsx
2025-02-28,25.8,89.0,41.0,2.0,bmkg_2025_02.xlsx
2025-03-01,26.3,85.0,19.6,2.0,bmkg_2025_02.xlsx
2025-03-02,26.3,89.0,0.0,3.0,bmkg_2025_02.xlsx
2025-03-03,26.3,89.0,74.2,3.0,bmkg_2025_02.xlsx
2025-03-04,25.6,90.0,53.8,2.0,bmkg_2025_02.xlsx
2025-03-05,26.9,81.0,0.2,2.0,bmkg_2025_02.xlsx
2025-03-06,26.1,86.0,0.0,3.0,bmkg_2025_02.xlsx
2025-03-07,26.5,85.0,41.8,3.0,bmkg_2025_02.xlsx
2025-03-08,26.2,87.0,0.0,2.0,bmkg_2025_03.xlsx
2025-03-09,25.9,89.0,11.7,2.0,bmkg_2025_03.xlsx
2025-03-10,24.6,91.0,7.4,1.0,bmkg_2025_03.xlsx
2025-03-11,26.6,84.0,0.2,2.0,bmkg_2025_03.xlsx
2025-03-12,27.1,85.0,26.0,2.0,bmkg_2025_03.xlsx
2025-03-13,26.9,88.0,0.0,2.0,bmkg_2025_03.xlsx
2025-03-14,25.7,89.0,46.4,2.0,bmkg_2025_03.xlsx
2025-03-15,25.2,91.0,7.2,2.0,bmkg_2025_03.xlsx
2025-03-16,26.5,83.0,6.5,1.0,bmkg_2025_03.xlsx
2025-03-17,25.0,94.0,68.45,2.0,bmkg_2025_03.xlsx
2025-03-18,26.2,89.0,130.4,2.0,bmkg_2025_03.xlsx
2025-03-19,26.3,81.0,5.2,2.0,bmkg_2025_03.xlsx
2025-03-20,27.1,81.0,0.0,3.0,bmkg_2025_03.xlsx
2025-03-21,27.4,80.0,0.0,2.0,bmkg_2025_03.xlsx
2025-03-22,26.9,87.0,0.0,1.0,bmkg_2025_03.xlsx
2025-03-23,26.9,82.0,0.5,3.0,bmkg_2025_03.xlsx
2025-03-24,26.1,84.0,2.3,2.0,bmkg_2025_03.xlsx
2025-03-25,25.6,86.0,4.1,1.0,bmkg_2025_03.xlsx
2025-03-26,25.5,92.0,2.8499999999999996,2.0,bmkg_2025_03.xlsx
2025-03-27,25.4,90.0,1.6,2.0,bmkg_2025_03.xlsx
2025-03-28,26.2,88.0,3.4,4.0,bmkg_2025_03.xlsx
2025-03-29,26.2,85.0,6.4,2.0,bmkg_2025_03.xlsx
2025-03-30,27.2,84.0,0.2,0.0,bmkg_2025_03.xlsx
