tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2020-02-28,30.2,23.9,18.8,14.8,97
2020-02-29,29.6,23.9,18.8,14.0,100
2020-03-01,29.0,24.1,18.4,14.4,97
2020-03-02,29.8,23.8,12.2,14.3,97
2020-03-03,29.9,23.4,9.0,10.8,96
2020-03-04,30.5,23.2,36.9,10.6,97
2020-03-05,27.2,23.6,19.6,15.6,96
2020-03-06,31.1,22.0,0.8,12.8,93
2020-03-07,29.3,22.9,0.1,15.7,98
2020-03-08,30.0,23.2,26.3,12.4,98
2020-03-09,31.0,23.0,0.0,22.0,93
2020-03-10,31.9,23.4,6.5,12.6,95
2020-03-11,30.8,23.5,16.2,13.2,99
2020-03-12,28.9,24.0,37.0,9.2,97
2020-03-13,31.0,22.3,6.9,10.9,97
2020-03-14,31.3,23.4,2.7,9.6,95
2020-03-15,31.4,23.9,18.3,8.4,97
2020-03-16,30.4,23.4,16.7,9.1,98
2020-03-17,30.9,23.4,15.5,12.1,99
2020-03-18,28.5,23.0,28.4,12.8,98
2020-03-19,29.0,22.9,18.5,7.4,99
2020-03-20,29.6,23.5,18.2,13.9,99
2020-03-21,29.5,22.4,3.9,15.0,99
2020-03-22,28.0,23.0,19.9,7.2,98
2020-03-23,30.3,23.1,24.6,9.3,97
2020-03-24,30.6,23.2,16.4,7.6,96
2020-03-25,31.2,22.2,4.6,9.2,98
2020-03-26,30.0,24.0,26.2,11.3,99
2020-03-27,31.2,23.5,19.2,14.0,97
2020-03-28,30.8,22.9,4.0,8.2,97
2020-03-29,31.1,23.3,12.5,8.2,97
2020-03-30,30.7,24.0,9.2,9.0,98
2020-03-31,31.8,23.9,7.9,13.6,98
2020-04-01,29.6,23.4,1.2,10.5,100
2020-04-02,30.8,22.7,9.9,10.6,99
2020-04-03,31.1,23.0,7.8,14.3,99
2020-04-04,30.8,23.2,19.7,11.1,98
2020-04-05,31.2,24.2,7.9,10.9,99
2020-04-06,30.4,23.8,28.3,9.7,100
2020-04-07,29.8,23.8,3.8,19.6,99
2020-04-08,30.0,23.0,9.4,10.2,95
2020-04-09,30.2,23.5,16.5,10.5,97
2020-04-10,30.5,23.3,29.5,8.9,98
2020-04-11,31.1,23.3,16.7,8.7,100
2020-04-12,31.0,23.5,4.5,9.5,96
2020-04-13,31.0,23.5,69.3,10.3,97
2020-04-14,30.6,23.1,14.8,9.0,98
2020-04-15,29.2,23.4,10.7,11.1,96
2020-04-16,30.5,23.5,7.0,10.0,97
2020-04-17,31.1,23.5,14.8,8.4,98
2020-04-18,31.5,22.8,6.7,9.4,98
2020-04-19,31.5,23.3,2.0,8.1,99
2020-04-20,31.5,23.8,8.3,11.3,96
2020-04-21,29.8,23.8,5.8,9.3,96
2020-04-22,31.5,23.5,1.1,11.8,97
2020-04-23,31.0,24.2,4.0,15.1,95
2020-04-24,29.4,24.0,9.5,16.9,98
2020-04-25,31.2,21.8,0.4,11.5,98
2020-04-26,29.1,23.4,11.3,11.7,96
2020-04-27,29.8,23.6,13.0,9.7,98
2020-04-28,27.0,24.0,15.3,6.5,96
2020-04-29,30.2,22.8,7.6,10.2,97
2020-04-30,28.6,24.4,8.6,6.0,98
2020-05-01,30.0,23.9,70.4,9.4,97
2020-05-02,29.2,24.0,4.2,11.7,96
2020-05-03,29.8,23.4,22.9,10.8,95
2020-05-04,29.8,23.5,14.6,13.2,98
2020-05-05,31.0,23.1,11.8,11.8,98
2020-05-06,31.0,23.8,19.2,11.5,99
2020-05-07,31.5,23.7,2.2,9.8,96
2020-05-08,31.2,23.4,8.7,9.5,95
2020-05-09,27.5,23.0,8.4,9.9,97
2020-05-10,30.5,24.1,17.2,9.2,97
2020-05-11,30.8,23.7,5.9,10.1,97
2020-05-12,31.2,23.6,9.1,10.5,96
2020-05-13,29.3,24.1,13.7,6.6,97
2020-05-14,31.0,23.2,0.9,12.9,96
2020-05-15,30.6,22.5,0.3,13.0,96
2020-05-16,32.0,22.7,0.6,14.1,95
2020-05-17,31.1,24.2,6.6,6.6,95
2020-05-18,28.5,24.2,21.2,8.7,98
2020-05-19,31.6,22.7,3.5,7.3,98
2020-05-20,31.2,23.5,11.4,17.3,97
2020-05-21,31.0,23.6,0.3,7.9,98
2020-05-22,31.1,24.1,8.3,10.2,95
2020-05-23,31.2,23.4,0.1,9.6,97
2020-05-24,32.2,22.5,0.9,11.6,97
2020-05-25,31.5,23.4,13.4,8.7,98
2020-05-26,30.4,23.4,9.9,12.4,99
2020-05-27,30.0,23.5,5.5,11.0,99
2020-05-28,30.3,23.1,12.7,8.9,100
2020-05-29,31.1,23.4,13.5,10.5,97
2020-05-30,31.0,23.9,9.8,10.7,96
2020-05-31,29.6,23.0,5.4,9.0,97
2020-06-01,30.8,22.6,4.4,12.2,97
2020-06-02,30.4,22.7,14.1,7.6,98
2020-06-03,30.2,23.9,6.5,16.5,97
2020-06-04,31.0,22.5,0.0,12.7,96
2020-06-05,31.1,22.9,1.1,7.4,94
2020-06-06,30.5,22.0,1.5,9.8,96
2020-06-07,30.5,23.4,3.8,10.6,96
2020-06-08,30.0,22.8,2.9,10.0,96
2020-06-09,30.4,22.9,10.2,7.5,98
2020-06-10,30.7,23.4,2.7,11.4,96
2020-06-11,30.6,23.1,6.2,6.4,96
2020-06-12,30.6,22.5,4.0,8.8,98
2020-06-13,30.9,22.6,1.9,8.0,97
2020-06-14,31.8,22.5,0.2,10.1,96
2020-06-15,31.0,23.8,6.7,6.6,98
2020-06-16,30.7,23.4,6.6,19.2,97
2020-06-17,31.4,22.0,1.3,11.8,98
2020-06-18,31.5,23.1,7.9,9.3,96
2020-06-19,30.0,22.5,17.1,8.7,98
2020-06-20,31.2,22.1,0.3,8.3,96
2020-06-21,30.9,21.9,0.9,14.4,93
2020-06-22,30.6,23.0,11.0,12.3,96
2020-06-23,30.1,22.5,8.2,8.8,98
2020-06-24,30.4,22.5,8.5,7.1,96
2020-06-25,31.0,22.6,3.6,11.4,98
2020-06-26,30.5,23.0,4.4,7.7,97
2020-06-27,30.1,22.3,2.9,10.8,96
2020-06-28,30.5,22.0,0.5,6.8,96
2020-06-29,31.4,23.8,0.3,13.2,96
2020-06-30,31.1,22.0,0.2,7.7,96
